index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
028,puente inter. paso del norte,cd. juárez-el paso,mex-045,0.0,7232,0.6,98.6,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639511,7.6,7.2,8.3,8.2,8.6,8.3,8.9,8.2,8.4,8.6,8.8,8.9
029,compostela,chapalilla-compostela,mex-d,31.5,6587,1.4,78.1,0.5,6.9,3.4,2.8,0.3,3.9,1.6,0.0,0.0,0.6,0.5,2404353,7.3,6.4,7.9,9.9,10.5,8.2,9.5,9.4,7.5,7.3,7.4,8.7
030,puente inter. rodolfo robles,cd. hidalgo-tecún umán,mex,27.5,1572,86.4,13.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,573901,7.4,6.8,7.9,7.5,7.8,8.0,8.6,8.6,8.4,8.9,9.3,10.8
031,puente inter. piedras negras,piedras negras-eagle pass,mex-057,0.0,3383,0.1,99.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234624,7.8,7.4,8.9,8.6,8.3,8.1,8.8,8.6,8.8,8.9,7.8,8.0
032,puente tlacotalpan,alvarado-tlacotalpan,mex-175,1.55,1544,10.0,80.5,1.0,2.9,2.5,1.5,0.1,0.7,0.1,0.0,0.0,0.1,0.6,563660,8.3,8.2,8.3,9.3,9.2,7.7,8.5,8.6,7.0,7.8,7.7,9.4
033,puente inter. acuña,cd. acuña-del río,mex-002,0.0,4351,0.3,93.7,0.7,0.1,1.3,0.6,0.1,3.1,0.0,0.0,0.0,0.0,0.1,1588199,7.8,7.4,8.7,8.2,8.8,7.9,8.2,8.4,8.3,8.8,8.6,8.9
034,puente inter. laredo las américas,nuevo laredo-laredo,mex-085,0.0,3351,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223283,7.5,7.3,7.8,8.6,8.6,8.1,8.3,9.1,9.4,9.6,8.3,7.4
035,puente inter. juárez-lincoln,nuevo laredo-laredo,mex-085,0.0,7782,0.6,97.5,0.7,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840599,8.0,7.3,7.8,8.3,8.8,8.2,8.6,8.7,8.6,8.5,8.3,8.9
036,puente antonio dovalí jaime,cosoleacaque-nuevo teapa,mex-145d,6.5,14140,1.1,48.1,0.4,2.9,5.2,5.6,1.0,20.0,3.5,0.3,0.1,10.6,1.2,5161094,7.8,6.9,8.0,8.3,11.2,7.9,8.5,8.8,7.7,8.0,7.7,9.2
037,puente antonio dovalí jaime bis,puente dovalí jaime-nuevo teapa,mex-145d,6.5,605,7.6,84.9,0.1,0.6,3.2,0.7,0.1,0.8,0.3,0.0,0.0,0.0,1.7,220744,6.2,5.8,7.2,7.9,9.1,8.4,9.2,11.1,9.2,8.8,7.9,9.2
038,puente tampico,tampico el alto-tampico,mex-180,191.8,9071,1.1,89.6,0.4,3.8,2.4,1.1,0.1,0.5,0.1,0.0,0.0,0.4,0.5,3310733,7.9,6.7,8.0,9.4,9.8,7.9,9.0,8.8,7.1,7.5,7.9,10.0
