index,tollbooth_name,way,highway,km,coords,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
319-01,tamasopo,vicente guerrero-tamasopo,mex-070d,34.5,"21.904189,-99.384701",515,1.6,89.9,0.5,4.4,1.8,1.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,188611,5.0,4.8,8.3,14.4,8.8,7.8,11.2,9.9,4.8,7.9,8.0,9.1
319-02,tamasopo,tambaca-tamasopo,mex-070d,34.5,"21.905691,-99.385102",9,2.8,88.4,0.4,1.4,2.6,2.4,0.1,0.7,0.4,0.0,0.0,0.8,0.0,3283,7.4,6.1,8.5,15.1,8.8,8.1,8.4,8.0,4.4,7.9,8.0,9.3
320-01,tambaca,vicente guerreo-tambaca,mex-070d,50.7,"21.940188,-99.273755",100,0.9,77.7,0.4,1.0,4.1,3.8,0.3,2.9,1.8,0.1,0.0,7.0,0.0,36535,8.0,7.1,8.5,11.8,8.5,7.4,9.0,8.5,6.1,7.9,8.0,9.2
320-02,tambaca,tamasopo-tambaca,mex-070d,50.7,"21.939210,-99.270072",9,2.7,89.4,0.4,1.1,2.4,2.4,0.1,0.5,0.3,0.0,0.0,0.7,0.0,3234,7.3,6.1,8.6,15.2,8.8,8.0,8.4,8.0,4.4,7.9,8.0,9.3
321-01,la pitahaya,vicente guerrero-la pitahaya,mex-070d,62.0,"21.967581,-99.174618",3177,0.4,61.5,0.4,3.8,4.3,4.1,0.4,9.9,6.0,0.2,0.1,8.9,0.0,1162746,7.9,7.3,8.2,9.5,8.1,7.7,8.9,9.3,7.8,7.9,8.0,9.4
321-02,la pitahaya,tamasopo-la pitahaya,mex-070d,62.0,"21.967581,-99.174618",528,1.4,90.9,0.5,3.9,1.5,1.4,0.1,0.2,0.1,0.0,0.0,0.0,0.0,193418,5.6,5.0,7.3,11.8,8.4,8.2,12.0,11.4,5.0,7.9,8.0,9.4
321-03,la pitahaya,tambaca-la pitahaya,mex-070d,62.0,"21.967581,-99.174618",397,2.7,84.1,0.5,1.6,3.5,3.3,0.3,1.7,1.0,0.0,0.0,1.3,0.0,145213,8.8,8.2,8.8,9.1,9.0,8.4,8.2,7.7,6.8,7.9,8.0,9.1
322,san blas,tepic-san blas,mex-d,30.6,"21.507258,-105.201086",3643,4.2,92.7,0.0,0.3,1.4,0.8,0.1,0.4,0.1,0.0,0.0,0.0,0.0,1333473,8.0,7.8,11.9,9.1,8.9,7.9,9.3,7.9,6.9,6.8,7.6,7.9
323-01,tintal,cedral-playa del carmen,mex-180d,50.0,"20.698987,-87.144285",824,3.6,88.4,0.3,5.4,1.7,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,301435,9.9,8.7,9.4,8.7,8.7,7.3,8.3,9.2,7.4,7.2,7.1,8.1
323-02,tintal,valladolid-playa del carmen,mex-180d,50.0,"20.698987,-87.144285",1683,0.9,78.8,0.3,5.3,2.3,1.4,0.3,3.5,0.9,0.1,0.0,5.9,0.3,616140,8.4,7.4,8.6,7.9,7.6,6.9,8.6,9.4,7.5,8.1,9.0,10.6
323-03,tintal,cancún-playa del carmen,mex-180d,50.0,"20.698987,-87.144285",21,2.0,69.6,0.2,1.6,7.7,4.5,0.1,2.7,0.4,0.0,0.0,2.3,8.9,7716,7.1,8.5,10.1,8.8,8.9,7.3,8.2,7.9,5.8,6.1,9.7,11.6
323-04,tintal,cedral-cancún,mex-180d,10.0,"20.895295,-87.438604",426,0.6,87.2,0.2,3.0,1.2,1.2,0.0,0.4,0.0,0.0,0.0,0.0,6.2,156019,7.6,8.2,9.7,8.1,7.6,7.1,8.3,9.6,7.5,7.9,9.0,9.4
323-05,tintal,cedral-valladolid,mex-180d,10.0,"20.895295,-87.438604",221,0.7,85.8,0.4,2.6,1.9,1.1,0.3,1.3,0.9,0.0,0.0,1.0,4.0,81049,11.2,7.9,8.3,6.7,6.4,4.9,7.2,8.8,6.3,8.0,10.1,14.2
324,jiménez,ent. jiménez-ent. aldama,mex-045d,3.0,"28.603444,-105.951440",3932,0.2,40.2,2.2,2.2,3.7,3.0,0.9,31.7,6.0,0.4,0.1,8.5,0.9,1438947,8.2,6.8,8.0,8.4,8.1,8.1,9.8,9.1,7.9,8.2,8.1,9.3
325,sacramento,ent. aldama-ent. sacramento,mex-045d,38.3,"28.790516,-106.139354",4865,0.4,46.8,2.2,1.9,3.7,2.9,0.7,26.8,5.5,0.4,0.1,7.4,1.2,1780615,8.0,6.9,8.0,8.4,8.2,8.3,9.6,9.0,7.9,8.2,8.1,9.4
326,tlalpan,periférico-aut. cuernavaca-acapulco,mex-095d,7.5,"19.237771,-99.146229",11127,0.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4072436,7.9,8.2,10.1,8.9,8.3,8.2,8.2,8.2,7.3,7.6,8.1,9.0
327-01,tlaltizapán,jantetelco-xicatlacotla,mex-094d,29.0,"18.652761,-99.008771",2540,0.9,71.2,0.3,1.8,3.5,5.5,1.0,4.8,2.6,0.0,0.1,4.0,4.3,929517,8.6,7.6,9.9,8.9,8.8,7.8,8.8,8.8,7.0,7.6,8.6,7.6
327-02,tlaltizapán,jantetelco-san rafael,mex-094d,29.0,"18.652761,-99.008771",196,1.6,75.3,0.6,0.7,3.2,4.2,0.3,1.5,0.8,0.0,0.0,0.1,11.7,71623,8.3,8.0,10.3,9.7,9.8,7.5,8.4,8.1,6.7,6.8,7.2,9.2
327-03,tlaltizapán,san rafael-xicatlacotla,mex-094d,29.0,"18.652761,-99.008771",516,2.5,89.3,0.4,0.7,3.3,1.0,0.1,0.3,0.1,0.0,0.0,0.1,2.2,189000,7.5,7.1,9.4,8.5,8.5,8.0,9.2,9.3,7.7,8.2,8.8,7.8
328-01,sahuaripa,guaymas-nogales,mex-015d,19.935,"29.029713,-110.854236",3163,0.2,50.1,1.3,2.5,1.9,1.4,1.7,23.9,2.9,0.5,0.1,13.5,0.0,1157712,9.7,7.4,8.3,9.4,8.1,7.9,8.5,7.5,6.7,8.2,8.4,9.9
328-02,sahuaripa,guaymas-hermosillo,mex-015d,19.935,"29.030287,-110.853010",99,0.3,13.2,0.6,0.1,2.1,6.0,2.8,30.6,20.9,0.6,0.1,22.7,0.0,36388,8.0,9.0,8.2,8.1,8.4,8.7,7.0,8.4,7.7,8.2,8.4,9.9
328-03,sahuaripa,hermosillo-nogales,mex-015d,19.935,"29.030195,-110.855485",243,0.4,18.0,1.0,0.1,2.0,7.0,2.8,43.1,8.7,1.8,0.3,14.8,0.0,88798,7.6,6.7,8.3,7.4,8.0,8.0,8.7,8.9,9.9,8.2,8.4,9.9
329,los gil,los gil-buenos aires,mex-180d,1.7,"20.886151,-97.466796",5487,0.6,54.8,1.6,2.8,3.7,4.5,1.2,15.5,4.1,0.3,0.1,9.4,1.4,2008242,7.2,6.3,7.6,7.1,7.1,6.9,7.7,7.9,6.9,12.6,13.2,9.5
330-01,naranjos,buenos aires-ozuluama,mex-180d,54.25,"21.327071,-97.627309",4726,0.3,50.4,1.7,5.2,3.3,4.1,1.1,16.7,4.5,0.4,0.1,10.6,1.6,1729618,7.2,6.2,7.6,7.1,7.0,6.8,7.8,8.0,6.9,12.5,13.1,9.8
330-02,naranjos,buenos aires-naranjos,mex-180d,54.25,"21.324395,-97.625109",778,1.0,77.5,0.5,6.5,3.2,1.8,0.3,1.3,0.5,0.0,0.0,0.1,7.3,284917,8.0,6.4,7.7,7.1,7.3,5.7,7.6,7.7,6.1,13.8,13.8,8.8
330-03,naranjos,naranjos-ozuluama,mex-180d,54.25,"21.327202,-97.627123",535,0.5,75.4,0.4,4.5,1.3,1.4,0.1,0.8,0.2,0.0,0.0,0.1,15.3,195708,6.7,5.3,7.5,7.4,7.4,4.0,9.3,10.4,6.1,12.3,11.8,11.8
331-01,totomoxtle,poza rica-nautla,mex-180d,37.1,"20.459474,-97.246480",3289,0.4,53.8,0.4,3.2,3.4,4.7,1.3,12.6,5.3,0.4,0.1,9.5,4.9,1203627,8.5,7.3,8.9,8.2,8.2,7.7,8.7,9.4,7.6,7.4,7.8,10.3
331-02,totomoxtle,gutiérrez zamora-nautla,mex-180d,37.1,"20.460506,-97.247049",962,1.0,76.3,0.2,3.7,3.9,3.4,0.4,1.5,0.7,0.0,0.0,1.2,7.7,352087,8.3,7.6,9.7,8.4,8.3,7.6,8.6,9.0,7.5,7.5,7.8,9.7
332-01,vega de alatorre,nautla-laguna verde,mex-180d,115.55,"20.044017,-96.684357",3117,0.4,59.7,1.3,3.8,3.2,3.8,0.9,10.9,3.9,0.4,0.1,8.8,2.8,1140725,8.5,7.3,8.9,8.2,8.1,7.7,8.8,9.3,7.7,7.3,7.6,10.6
332-02,vega de alatorre,nautla-vega de alatorre,mex-180d,115.55,"20.043951,-96.684492",686,1.8,60.6,0.4,2.8,3.1,5.1,0.7,3.5,1.1,0.1,0.0,1.6,19.2,251021,8.6,7.8,9.6,8.3,8.6,7.6,8.5,8.5,7.7,7.8,7.5,9.5
332-03,vega de alatorre,vega de alatorre-laguna verde,mex-180d,115.55,"20.039971,-96.680764",461,1.0,68.7,0.9,4.9,3.3,3.7,0.4,6.7,1.7,0.0,0.0,2.9,5.8,168845,7.7,7.2,10.0,8.6,8.3,7.6,9.0,9.7,7.6,7.3,6.9,10.1
333,la venta,la venta-bajos del ejido,mex-200d,3.2,"16.941504,-99.822249",2109,4.1,82.2,0.0,1.3,3.7,4.0,0.8,2.2,1.5,0.0,0.0,0.2,0.0,257301,,,,,,,,,21.9,20.0,24.7,33.4
334,bucerías,vallarta-bucerías,mex-200d,1.0,"20.775072,-105.374132",5384,0.6,82.6,0.1,5.3,2.5,1.7,0.4,3.3,1.1,0.0,0.0,0.7,1.7,1970543,6.4,5.6,7.4,8.5,8.7,8.3,10.8,10.5,8.8,7.4,8.0,9.6
335-01,el chichimeco,ent. montoro-ent. la escondida,mex-045d,35.7,"22.005847,-102.357752",6317,0.2,24.9,0.6,1.0,4.9,6.7,3.5,32.4,8.4,1.3,0.2,15.1,0.8,2312125,9.2,8.5,8.9,9.0,9.1,8.7,9.7,7.6,6.6,6.5,7.0,9.2
335-02,el chichimeco,ent. montoro-ent. el chichimeco,mex-045d,35.7,"22.000783,-102.359667",124,0.6,53.1,2.3,0.1,7.5,6.3,1.6,16.2,4.9,0.6,0.2,4.9,1.7,45510,7.8,7.7,10.1,9.3,9.7,8.7,9.7,7.6,6.6,6.5,7.0,9.3
335-03,el chichimeco,ent. el chichimeco-ent. la escondida,mex-045d,35.7,"22.005817,-102.357628",59,0.1,63.6,0.8,0.0,4.2,3.7,1.2,15.3,5.9,0.6,0.1,2.6,1.9,21651,8.2,7.7,10.1,8.9,9.7,8.7,9.7,7.6,6.6,6.5,7.0,9.3
336,guadalupe,ent. villa ahumada-ent. guadalupe,chih-048d,27.0,"31.411868,-106.195543",495,0.7,83.4,7.4,0.2,0.8,0.8,0.9,4.9,0.6,0.1,0.0,0.2,0.0,181191,6.4,5.7,8.2,7.8,9.6,8.5,10.9,10.6,9.8,4.8,8.4,9.3
