index,tollbooth_name,way,highway,km,coords,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
066-03,la venta,la  venta-la marquesa,mex-015d,24.0,"19.331739,-99.315122",15054,0.8,75.1,0.1,1.2,5.1,3.0,0.4,9.4,0.6,0.0,0.0,1.9,2.4,5509663,7.8,7.8,8.4,8.2,8.6,8.5,8.8,8.8,8.2,8.7,8.1,8.1
067,central de abastos,cuernavaca-central de abastos,mex-095d,102.0,"18.838355,-99.217512",19171,7.3,89.5,0.0,0.5,1.6,0.6,0.1,0.4,0.0,0.0,0.0,0.0,0.0,7016556,8.1,8.0,8.4,8.2,8.4,8.1,8.2,8.4,8.2,8.8,8.4,8.8
068,aeropuerto,cuernavaca-aereopuerto,mex-095d,104.85,"18.802317,-99.221271",17185,7.2,87.8,0.0,0.7,1.3,0.7,0.1,1.0,0.8,0.0,0.0,0.4,0.0,6289569,8.0,7.8,8.8,8.2,8.4,8.1,8.3,8.5,8.2,8.7,8.5,8.5
069,xochitepec,cuernavaca-xochitepec,mex-095d,107.9,"18.774989,-99.225320",3514,2.8,92.3,0.0,1.1,3.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286040,7.6,8.4,9.7,8.9,8.3,8.9,9.3,9.1,6.3,6.2,8.3,9.0
070,ing. francisco velasco durán,cuernavaca-puente de ixtla,mex-095d,123.0,"18.698498,-99.278028",15564,1.5,81.9,0.0,4.9,3.8,3.0,0.4,2.7,0.8,0.0,0.0,1.0,0.0,5696585,8.6,7.7,10.0,8.8,8.3,7.8,8.8,8.8,6.8,6.8,8.0,9.6
071-01,alpuyeca,cuernavaca-alpuyeca,mex-095d,123.0,"18.723832,-99.260221",4398,2.0,84.2,0.0,4.9,4.2,2.3,0.3,1.2,0.8,0.0,0.0,0.1,0.0,1609693,8.0,7.7,9.3,8.1,8.1,7.9,8.3,8.4,8.2,8.6,8.1,9.3
071-02,alpuyeca,alpuyeca-puente de ixtla,mex-095d,123.0,"18.722429,-99.259934",199,1.8,89.8,0.0,0.5,2.5,4.6,0.2,0.5,0.1,0.0,0.0,0.0,0.0,72769,8.4,8.1,9.6,9.1,8.4,8.0,7.7,8.5,7.0,8.1,8.1,9.0
072-01,paso morelos,puente de ixtla-chilpancingo,mex-095d,187.0,"18.231462,-99.215446",7807,1.8,76.0,0.0,5.0,3.4,4.8,0.8,5.1,1.3,0.0,0.0,1.8,0.0,952417,,,,,,,,,21.6,16.9,28.0,33.5
072-02,paso morelos,puente de ixtla-paso morelos,mex-095d,187.0,"18.231509,-99.215629",242,5.4,90.4,0.0,0.1,2.7,0.8,0.1,0.3,0.2,0.0,0.0,0.0,0.0,29495,,,,,,,,,23.6,22.4,24.5,29.5
072-03,paso morelos,paso morelos-chilpancingo,mex-095d,187.0,"18.231451,-99.215331",560,1.0,81.8,0.0,0.8,4.8,4.6,1.5,2.3,2.9,0.0,0.0,0.3,0.0,68308,,,,,,,,,24.2,19.9,25.4,30.5
073,palo blanco,chilpancingo-tierra colorada,mex-095d,285.85,"17.423983,-99.466911",8445,1.8,80.3,0.0,5.0,3.5,3.2,0.7,3.7,0.8,0.0,0.0,1.0,0.0,1030256,,,,,,,,,21.9,17.1,27.7,33.3
074,la venta,tierra colorada-acapulco,mex-095d,365.4,"16.928232,-99.801857",8730,2.1,78.7,0.0,6.1,3.6,3.1,0.6,3.5,1.1,0.0,0.0,1.2,0.0,1065095,,,,,,,,,21.8,17.1,27.8,33.3
075,puente inter. zaragoza-ysleta,zaragoza-ysleta,mex-045,0.0,"31.670809,-106.340673",6912,1.2,72.8,0.4,0.0,1.0,4.2,0.3,20.1,0.0,0.0,0.0,0.0,0.0,2529892,9.0,8.4,8.6,8.3,8.2,8.0,8.5,8.7,8.4,7.1,8.3,8.5
076-01,arenal,ent. ameca-magdalena,mex-015d,10.96,"20.778775,-103.662396",11058,0.9,70.2,0.2,7.4,3.0,3.8,0.9,9.1,1.7,0.1,0.0,1.3,1.4,4047211,7.6,6.9,8.6,8.6,8.6,8.1,9.5,9.3,7.9,7.5,8.0,9.4
076-02,arenal,ent. ameca-ent. arenal,mex-015d,16.5,"20.790504,-103.712587",105,0.2,32.0,0.4,0.7,4.5,5.6,1.8,32.5,3.3,1.3,0.5,17.2,0.0,38540,6.9,8.1,7.6,7.7,8.5,8.2,9.3,10.2,8.5,8.2,9.1,7.7
076-03,arenal,ent. arenal-magdalena,mex-015d,16.5,"20.790504,-103.712587",4340,0.5,37.1,0.3,3.0,4.6,8.3,2.6,28.3,4.5,0.8,0.2,7.9,1.9,1588601,8.0,7.6,8.4,8.6,8.5,8.6,9.2,8.9,7.6,7.6,8.0,9.0
077,tequila,tequila-magdalena,mex-015d,33.84,"20.854262,-103.860959",377,3.0,85.1,0.4,3.0,2.5,1.0,0.1,0.4,0.1,0.0,0.0,0.1,4.3,138042,8.3,7.0,8.6,8.0,7.8,10.5,10.0,9.3,7.2,7.1,7.1,9.1
078,plan de barrancas,magdalena-ixtlán del río,mex-015d,69.337,"21.005434,-104.144062",14699,0.7,58.8,0.3,6.3,3.7,5.7,1.4,15.5,2.8,0.3,0.0,3.4,1.1,5379754,7.8,7.1,8.5,8.7,8.6,8.4,9.4,9.1,7.6,7.5,7.9,9.4
079-01,santa ma. del oro,ixtlán del río-tepic,mex-015d,145.146,"21.328301,-104.664437",8728,0.6,47.7,0.4,6.7,3.9,5.8,1.5,21.5,3.8,0.5,0.1,5.3,2.2,3194457,8.5,7.9,8.8,8.7,8.4,7.9,8.5,8.4,7.2,7.7,8.2,9.8
079-02,santa ma. del oro,ixtlán del río-sta. ma. del oro,mex-015d,145.146,"21.326985,-104.664842",1046,1.9,72.4,0.5,0.8,3.2,8.8,0.9,5.5,1.5,0.0,0.0,0.2,4.3,382792,9.2,8.2,9.4,8.3,8.3,7.8,8.3,8.2,7.4,6.9,9.7,8.3
079-03,santa ma. del oro,santa ma. del oro-tepic,mex-015d,145.146,"21.327997,-104.663181",733,1.1,80.5,0.4,0.8,2.8,2.0,0.1,0.7,0.5,0.0,0.0,0.2,10.9,268412,8.4,7.4,9.6,8.1,8.9,7.7,8.2,8.1,7.8,7.7,8.0,10.1
080,camargo,jiménez-camargo,mex-045d,11.0,"27.244960,-104.933154",6557,0.2,40.1,1.8,4.5,4.9,3.2,2.1,30.7,3.6,0.7,0.1,6.9,1.2,2399998,8.1,7.0,8.0,8.0,8.1,8.0,9.7,9.1,7.8,8.3,8.1,9.8
081,altavista,camargo-conchos,mex-045d,73.0,"27.730871,-105.197567",7456,0.2,49.1,2.1,2.9,5.6,3.4,1.6,24.1,3.0,0.7,0.1,5.9,1.3,2728754,8.1,7.0,8.1,8.1,8.2,8.1,9.8,9.2,7.8,8.2,7.9,9.5
082,saucillo,conchos-delicias,mex-045d,116.3,"28.046417,-105.329309",9398,0.2,54.9,1.8,3.1,4.7,2.7,1.6,21.8,2.6,0.5,0.1,4.8,1.2,3439845,8.0,7.2,8.2,8.1,8.3,8.2,9.4,9.0,7.9,8.3,8.1,9.3
083,acatic,zapotlanejo-acatic,mex-080d,21.0,"20.738993,-102.909695",685,0.8,83.0,0.6,0.7,6.1,3.4,0.7,3.5,0.7,0.0,0.0,0.5,0.0,250655,7.8,7.6,7.4,7.6,8.0,8.1,9.1,8.7,10.4,8.1,8.4,8.8
084-01,tepatitlán,zapotlanejo-ent. arandas,mex-080d,41.512,"20.824642,-102.794950",17769,0.4,54.6,0.3,2.9,5.2,4.4,1.5,17.9,3.1,0.7,0.2,8.8,0.0,6503278,8.0,7.5,8.2,8.3,8.2,8.0,9.2,9.2,8.2,8.1,8.4,8.7
084-02,tepatitlán,zapotlanejo-tepatitlán,mex-080d,41.512,"20.820839,-102.794008",3764,0.5,86.2,0.3,3.8,3.6,2.1,0.3,1.9,0.7,0.0,0.0,0.6,0.0,1377760,6.7,6.7,7.2,8.2,8.2,8.1,10.2,10.3,9.2,8.1,8.4,8.7
084-03,tepatitlán,tepatitlán-ent. arandas,mex-080d,41.512,"20.820923,-102.793877",949,0.3,56.3,0.6,2.4,5.1,9.1,2.0,14.1,7.6,0.2,0.1,2.2,0.0,347257,8.3,8.4,8.3,8.6,9.3,7.8,8.2,8.0,7.6,8.1,8.4,9.0
085,san miguel el alto,ent. arandas-san miguel el alto,mex-080d,75.3,"21.031053,-102.554543",1074,0.5,82.7,0.5,0.8,4.2,3.4,0.6,3.2,2.8,0.1,0.0,1.2,0.0,393138,8.2,7.7,8.7,8.0,8.2,8.1,9.4,8.0,8.5,8.1,8.4,8.7
086-01,jalostotitlán,ent. arandas-desperdicio,mex-080d,90.8,"21.117508,-102.458071",15963,0.3,48.1,0.2,3.4,5.1,5.2,1.7,21.1,3.9,0.8,0.2,10.0,0.0,5842312,8.0,7.6,8.2,8.4,8.3,8.1,9.1,8.9,8.1,8.1,8.4,8.8
086-02,jalostotitlán,ent. arandas-jalostotitlán,mex-080d,90.8,"21.117444,-102.457948",451,0.5,89.6,0.3,1.7,4.1,1.6,0.6,1.1,0.3,0.0,0.0,0.2,0.0,164970,7.6,9.0,6.9,7.2,7.3,7.0,10.5,11.0,8.2,8.1,8.4,8.8
086-03,jalostotitlán,el desperdicio-jalostotitlán,mex-080d,90.8,"21.120209,-102.455575",802,0.7,78.7,0.4,8.9,3.0,3.6,0.6,1.6,1.7,0.0,0.0,0.8,0.0,293530,8.6,9.1,9.4,6.8,6.6,7.0,8.6,10.0,8.5,8.1,8.4,8.9
087,san juan de los lagos,ent. san juan de los lagos-el desperdicio,mex-080d,110.52,"21.225685,-102.313646",849,1.2,74.5,0.4,14.3,2.5,3.5,0.3,1.8,1.0,0.0,0.0,0.5,0.0,310687,10.7,8.5,9.8,6.9,6.9,6.6,8.4,9.5,7.5,8.1,8.4,8.7
088-01,agualeguas,agualeguas-paras,mex-085d,79.7,"26.342367,-100.070265",2,0.2,88.3,1.4,1.8,0.8,0.5,0.0,6.8,0.2,0.0,0.0,0.0,0.0,651,5.5,1.2,4.3,0.8,3.5,13.5,0.8,61.3,2.5,1.7,2.2,2.7
088-02,agualeguas,monterrey-agualeguas,mex-085d,79.7,"26.340311,-100.070501",711,0.4,49.3,1.1,1.4,9.1,3.9,1.0,29.0,1.4,0.5,0.1,2.8,0.0,260278,8.7,8.1,9.9,8.1,9.0,7.5,7.8,7.8,7.7,7.5,8.4,9.5
089-01,sabinas,monterrey-la gloria,mex-085d,100.0,"26.512100,-100.007195",14894,0.1,26.4,0.6,2.5,2.3,2.2,0.5,62.0,0.8,0.4,0.0,2.2,0.0,5451210,8.4,7.9,8.9,8.3,8.2,7.9,8.4,8.3,8.0,8.3,8.4,9.0
089-02,sabinas,sabinas-la gloria,mex-085d,100.0,"26.508593,-100.009154",49,0.4,78.9,6.9,1.2,4.3,1.1,0.5,6.2,0.3,0.0,0.0,0.2,0.0,17900,6.3,6.0,7.4,6.5,7.7,8.7,11.0,10.7,8.8,8.7,8.1,10.1
090,sabinas parás,monterrey-sabinas,mex-085d,100.0,"26.508374,-100.008136",73,0.2,30.2,1.0,0.2,3.5,3.3,0.8,18.8,5.4,0.1,0.1,36.4,0.0,26897,7.6,9.2,9.4,8.8,7.9,7.2,7.3,9.6,7.6,8.5,8.6,8.3
091,entronque ex-garita,la gloria-san fernando,mex-085d,191.3,"27.270497,-99.613956",11755,0.1,33.6,0.6,2.9,2.1,2.2,0.5,53.3,1.1,0.5,0.0,2.7,0.4,4302324,8.4,7.7,8.8,8.1,8.0,7.9,8.6,8.5,7.7,8.2,8.4,9.7
092,puente inter. solidaridad en colombia,colombia-dolores,nl-001,0.0,"27.697352,-99.747859",3171,0.1,35.8,0.9,0.0,5.8,24.5,0.7,29.8,2.4,0.0,0.0,0.0,0.0,1160724,8.7,7.9,8.8,8.1,7.7,8.1,9.3,8.2,7.0,8.0,8.7,9.5
093,tampico,cd. valles-altamira,mex-184d,5.102,"22.275330,-97.893426",6907,2.1,47.9,0.0,0.9,6.4,5.5,1.3,16.3,5.9,0.5,0.1,13.1,0.0,2528118,9.2,8.8,9.7,9.6,8.4,8.6,8.6,7.0,6.0,6.8,8.1,9.2
094-01,loma real,cd. valles-loma real,mex-184d,6.1,"22.276476,-97.893283",1942,5.2,91.9,0.0,0.1,2.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,710836,9.7,9.4,10.1,9.9,8.6,9.6,8.8,6.3,5.2,5.9,8.1,8.4
094-02,loma real,loma real-altamira,mex-184d,6.1,"22.276476,-97.893283",1587,5.2,91.4,0.0,0.1,2.2,0.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,580931,10.0,9.7,10.5,10.2,8.6,10.0,9.0,5.3,4.7,5.2,8.0,8.8
095,cuyutlán,armería-manzanillo,mex-200d,61.4,"18.927852,-104.081512",13344,0.0,71.1,0.1,1.6,1.7,1.5,1.2,6.1,3.2,1.3,0.3,11.8,0.1,4883986,8.6,7.9,8.9,8.4,8.5,8.1,8.5,8.5,7.5,7.9,8.2,9.0
096,puente san miguel,los mochis-estación don,mex-015d,19.7,"25.976350,-109.033593",9866,0.2,56.5,0.9,4.2,3.3,2.7,1.8,18.4,2.7,0.3,0.1,5.7,3.2,3610994,9.2,8.0,9.3,8.5,8.5,7.9,8.4,8.0,6.8,7.7,7.5,10.2
097,estación don la jaula,estación don-navojoa,mex-015d,129.9,"26.849735,-109.373267",5969,0.2,44.3,0.0,7.3,2.9,2.7,2.1,27.6,3.2,0.5,0.1,9.1,0.0,2184668,9.6,7.9,9.6,8.6,8.1,7.8,8.6,7.9,6.4,6.9,7.9,10.7
098,fundición,navojoa-cd. obregón,mex-015d,195.5,"27.320494,-109.719697",7868,0.3,53.7,0.0,7.2,3.0,2.3,1.7,21.8,2.6,0.4,0.1,6.9,0.0,2879643,9.4,7.8,9.2,8.4,8.1,7.6,8.6,8.2,6.9,7.3,8.1,10.4
099,esperanza,cd.obregón-ent.libramiento guaymas,mex-015d-015,10.7,"27.603754,-109.939057",3610,0.2,57.4,0.0,11.1,3.5,2.7,1.2,16.9,2.0,0.1,0.0,4.9,0.0,1321181,9.3,8.1,9.3,8.2,8.3,7.5,9.0,8.4,6.5,7.7,7.9,9.8
100,guaymas,libramiento de guaymas,mex-015d-015,20.0,"28.036447,-110.924141",8346,0.1,59.2,0.0,4.2,2.6,2.0,1.3,20.9,2.1,0.2,0.0,7.4,0.0,3054687,9.5,7.9,9.1,8.6,8.2,7.9,8.4,7.8,6.7,7.4,8.1,10.4
101,hermosillo,hermosillo-ent.libramiento magdalena,mex-015d-015,15.2,"29.220685,-110.930258",12811,0.1,67.8,0.0,4.6,2.3,1.2,1.0,14.9,1.8,0.3,0.1,5.9,0.0,4688682,8.5,7.6,8.9,8.4,8.6,8.0,8.7,8.1,7.2,7.7,8.4,9.9
102,magdalena,libramiento de magdalena,mex-015d,184.4,"30.629279,-110.948746",9365,0.1,67.9,0.0,2.1,2.6,1.2,0.8,15.8,2.2,0.3,0.0,7.0,0.0,3427488,8.1,7.3,8.7,8.4,8.6,8.2,8.9,8.1,7.4,7.9,8.4,10.0
103,nogales,libramiento de nogales,mex-15d,0.0,"31.247675,-110.972370",3276,0.2,66.1,3.5,0.3,1.8,0.9,0.2,27.0,0.0,0.0,0.0,0.0,0.0,1199057,9.2,6.8,8.0,8.5,8.8,8.2,7.6,7.0,6.5,8.0,11.3,10.1
104,durango,durango-guadalupe victoria,mex-040d,15.5,"24.131646,-104.534037",3954,0.6,64.4,1.2,5.0,3.1,2.2,0.9,10.4,2.3,0.5,0.1,6.8,2.5,1447253,7.7,7.1,8.8,8.3,8.7,8.2,11.0,9.9,7.2,7.4,7.3,8.4
105,yerbanis,guadalupe victoria-yerbanís,mex-040d,112.186,"24.730819,-103.861843",3256,0.7,59.4,1.3,6.0,3.3,2.5,0.9,12.0,2.5,0.6,0.0,8.1,2.7,1191671,7.7,7.0,8.9,8.1,8.3,8.0,11.3,10.0,7.0,7.3,7.4,9.0
106-01,cuencamé iii,yerbanís-pedriceña,mex-040d,143.22,"24.981714,-103.735206",3220,0.7,59.9,1.4,6.0,3.1,2.4,0.9,11.7,2.2,0.6,0.0,7.9,3.2,1178689,7.7,6.9,9.1,8.0,8.3,8.0,11.3,10.0,7.3,7.2,7.3,8.9
106-02,cuencamé iii,yerbanís-cuencamé,mex-040d,143.22,"24.980387,-103.734321",194,0.4,48.1,1.4,0.8,2.7,2.5,0.9,8.4,2.6,0.2,0.0,6.9,25.1,71082,8.0,7.7,9.3,9.0,8.6,8.0,9.3,8.8,7.4,7.5,7.8,8.6
106-03,cuencamé iii,cuencamé-pedriceña,mex-040d,143.22,"24.981010,-103.736657",3969,0.3,32.0,2.0,5.5,4.2,4.2,2.5,29.1,5.3,1.3,0.1,12.1,1.4,1452817,8.4,7.2,8.2,8.0,7.9,7.9,9.2,9.1,7.9,8.2,8.1,9.9
107-01,león guzmán,pedriceña-gómez palacio,mex-040d,212.709,"25.520645,-103.639471",5171,0.4,41.1,2.1,5.4,3.7,3.7,1.7,25.5,4.1,0.7,0.1,9.8,1.7,1892631,8.1,7.0,8.3,7.9,7.9,8.1,10.3,9.4,7.3,7.9,7.8,10.0
107-02,león guzmán,pedriceña-león guzmán,mex-040d,212.709,"25.519468,-103.639202",2495,0.7,63.2,1.1,5.5,3.7,2.4,1.3,7.0,3.0,1.2,0.1,8.6,2.2,913034,7.8,7.5,9.2,8.2,8.2,8.2,9.4,9.3,7.6,7.9,7.8,8.9
107-03,león guzmán,león guzmán-gómez palacio,mex-040d,212.709,"25.520637,-103.639623",1055,0.5,22.1,2.1,0.4,5.7,6.5,4.6,37.3,10.7,0.3,0.1,2.2,7.5,386139,8.0,7.8,8.5,8.0,8.3,7.9,8.8,8.7,7.5,9.1,8.7,8.7
108-01,san nicolás de los jassos,libramiento oriente de san luis potosí,mex-057d,11.22,"22.129780,-100.825002",19964,0.1,21.7,0.0,2.1,5.7,4.6,1.3,50.8,4.8,0.5,0.1,8.3,0.0,7306668,8.5,7.8,8.4,8.4,8.4,7.9,8.6,8.6,7.8,8.4,8.3,8.9
108-02,san nicolás de los jassos,la pila-san nicolás de los jassos,mex-057d,11.22,"22.129780,-100.825002",2788,2.9,69.7,0.0,0.4,5.8,5.4,1.0,11.3,2.9,0.1,0.0,0.5,0.0,1020435,8.0,7.8,8.1,8.2,8.2,7.8,9.1,8.7,8.5,8.4,8.3,8.9
109,calera víctor rosales,víctor rosales-enrique estrada,mex-045d,27.5,"22.941860,-102.689827",18069,0.5,69.5,1.0,2.9,6.5,0.0,0.0,12.3,2.6,0.0,0.0,4.7,0.0,6613178,8.1,7.8,8.3,8.2,8.2,8.3,8.8,8.8,8.2,8.3,8.0,9.0
110-01,san martín texmelucan,san martín texmelucan-tlaxcala,mex-117d,5.45,"19.301602,-98.404063",5937,1.2,77.2,0.1,5.3,5.4,2.3,0.6,3.8,1.2,0.0,0.0,1.3,1.6,2172917,8.0,7.4,8.2,7.5,7.5,7.7,8.7,8.8,7.9,8.6,9.7,10.0
110-02,san martín texmelucan,san martín texmelucan-arco norte,mex-117d,5.45,"19.297249,-98.409370",681,1.1,86.3,0.0,0.5,3.8,2.0,0.5,3.2,0.3,0.0,0.0,0.4,1.9,249143,8.3,7.1,7.8,7.8,7.6,7.6,8.4,8.3,8.3,9.9,8.9,10.0
110-03,san martín texmelucan,san martín texmelucan-puebla,mex-117d,5.45,"19.295170,-98.410913",1436,0.8,86.5,0.0,1.3,4.2,2.5,0.2,1.9,0.5,0.0,0.0,0.5,1.6,525394,8.5,7.3,7.6,8.4,7.9,7.1,7.5,7.7,8.5,11.7,9.1,8.7
111,ecatepec,ecatepec-pirámides,mex-132d,1.187,"19.611647,-99.025666",21234,1.2,75.2,0.1,6.1,3.9,2.4,0.6,5.9,1.1,0.1,0.0,2.6,0.8,7771479,8.1,7.8,9.0,8.2,8.3,8.2,8.6,8.5,7.6,8.0,8.4,9.3
112,tepexpan,tepexpan-pirámides,mex-132d,9.725,"19.616183,-98.948237",5264,1.3,77.1,0.1,1.2,3.8,2.3,0.4,3.4,1.0,0.0,0.0,1.0,8.4,1926477,8.2,7.6,9.2,8.2,8.5,8.0,8.6,8.4,7.8,8.1,8.4,9.0
113-01,chichén itza,kantunil-valladolid,mex-180d,115.5,"20.728893,-88.583270",5851,0.5,71.2,0.3,3.4,3.7,2.5,0.6,6.4,1.5,0.2,0.0,8.8,0.9,2141623,7.9,7.3,8.3,7.7,7.7,7.0,8.2,8.9,7.6,9.0,9.5,10.9
113-02,chichén itza,kantunil-pisté,mex-180d,115.5,"20.728734,-88.583262",972,0.7,82.2,0.3,1.8,3.5,2.4,0.5,5.3,1.7,0.0,0.0,0.8,0.8,355755,7.4,6.8,7.6,6.6,6.2,5.7,7.2,7.7,6.1,10.4,12.8,15.5
113-03,chichén itza,pisté-valladolid,mex-180d,115.5,"20.729011,-88.583208",608,0.5,90.1,0.1,4.8,1.2,0.5,0.0,0.2,0.1,0.0,0.0,0.0,2.5,222588,9.3,8.7,9.4,7.5,6.5,6.0,7.8,8.0,5.9,8.2,10.2,12.5
114,tintal,valladolid-cancún,mex-180d,238.0,"20.900140,-87.434783",3810,0.6,71.1,0.3,5.4,2.9,2.3,0.5,6.3,0.7,0.1,0.0,8.2,1.6,1394278,8.1,7.7,8.7,7.9,7.6,7.1,8.2,8.9,7.5,8.5,9.1,10.7
115,chichimequillas,t. c.aut. méx-qro-t. c.qro-slp,mex-057d,20.32,"20.705589,-100.343736",17471,0.3,35.5,0.0,1.3,6.7,5.7,1.0,38.7,3.9,0.2,0.0,6.7,0.0,6394266,9.1,8.7,9.0,9.0,8.8,7.8,7.9,7.6,7.8,8.0,8.0,8.3
116-01,cuitláhuac,córdoba-la tinaja,mex-150d,14.14,"18.839476,-96.746939",14578,0.6,46.4,0.0,4.5,5.3,7.1,1.2,18.0,3.3,0.3,0.1,13.2,0.0,5335646,8.5,7.8,9.0,8.9,8.5,8.4,9.1,8.9,7.7,7.4,7.8,8.0
116-02,cuitláhuac,córdoba-cuitláhuac,mex-150d,14.14,"18.839478,-96.746939",184,4.5,87.0,0.0,0.4,4.4,2.6,0.1,0.7,0.2,0.0,0.0,0.1,0.0,67269,7.6,7.8,8.3,7.6,8.1,11.4,8.3,8.9,9.1,9.8,6.5,6.6
116-03,cuitláhuac,cuitláhuac-la tinaja,mex-150d,14.14,"18.837544,-96.737435",207,1.5,89.5,0.0,0.4,3.6,3.3,0.1,1.0,0.4,0.0,0.0,0.2,0.0,75874,8.7,7.3,8.4,8.0,7.5,7.6,7.7,7.5,5.9,5.8,7.3,18.3
117-01,paso del toro,la tinaja-veracruz,mex-150d,89.9,"19.081722,-96.198448",5843,1.1,81.4,0.0,5.5,4.2,2.7,0.3,3.0,0.5,0.0,0.0,1.3,0.0,2138580,8.0,7.8,9.5,9.1,8.6,8.5,8.8,9.0,7.6,7.1,7.5,8.5
117-02,paso del toro,la tinaja-paso del toro,mex-150d,89.9,"19.081641,-96.198320",5995,0.6,41.1,0.0,1.6,4.9,6.7,1.5,19.6,5.8,0.5,0.2,17.5,0.0,2194322,8.6,7.3,8.3,8.0,8.8,7.8,8.8,9.1,8.0,8.7,7.9,8.7
117-03,paso del toro,paso del toro-veracruz,mex-150d,89.9,"19.084117,-96.196108",7178,9.0,84.0,0.0,0.7,3.1,1.4,0.1,0.9,0.2,0.0,0.0,0.6,0.0,2627322,9.0,8.0,7.9,7.1,8.7,7.9,8.3,8.8,8.6,8.7,8.2,8.8
118,león ii,salamanca-león,mex-045d,6.0,"21.046573,-101.628786",1451,2.2,85.4,0.1,0.3,3.8,2.8,0.2,4.0,0.7,0.0,0.0,0.5,0.0,531113,7.7,7.7,7.5,8.0,8.4,8.3,8.7,9.0,9.0,8.2,8.4,9.1
119,cuerámaro,león-central de abastos,mex-045d,12.0,"21.069659,-101.679160",6094,1.0,67.7,0.1,0.3,8.6,7.0,1.0,10.9,2.0,0.2,0.1,1.1,0.0,2230340,8.1,8.0,7.8,8.3,8.6,8.2,8.4,8.7,8.1,8.2,8.4,9.2
120,plan de ayala,león-plan de ayala,mex-045d,15.3,"21.076925,-101.709948",1844,1.2,74.9,0.4,0.3,6.3,7.3,0.5,5.6,2.3,0.1,0.0,1.1,0.0,674883,7.7,7.5,7.5,8.0,8.7,8.4,8.8,9.1,8.6,8.2,8.4,9.1
121,san francisco del rincón remotas,león-ent. san francisco,mex-045d,19.0,"21.082338,-101.745597",4195,1.0,79.6,0.3,0.6,6.5,5.1,0.8,4.6,0.9,0.0,0.0,0.6,0.0,1535456,8.2,7.9,8.1,8.1,8.6,8.2,8.5,8.6,8.1,8.2,8.4,9.1
122,las joyas,león-las joyas,mex-045d,22.8,"21.097540,-101.777066",1876,1.2,78.4,0.3,0.1,5.1,7.0,0.4,6.3,0.9,0.0,0.0,0.3,0.0,686588,7.6,7.9,8.2,8.5,8.6,8.0,8.7,8.6,8.2,8.2,8.4,9.1
123,león,león-lagos de moreno,mex-045d,23.5,"21.102764,-101.784576",15213,0.5,48.6,0.3,4.0,6.3,6.3,1.2,21.7,2.8,0.6,0.1,7.6,0.0,5567914,8.6,7.8,8.2,8.4,8.2,7.8,8.6,8.9,7.9,8.2,8.4,9.0
124,unión de san antonio,unión de san antonio-lagos de moreno,mex-045d,48.02,"21.255167,-101.949515",587,0.5,67.1,1.1,1.1,4.3,5.4,1.1,7.2,2.5,0.1,0.0,9.6,0.0,214873,9.5,7.9,8.6,7.8,7.9,7.5,8.3,8.5,8.1,8.2,8.4,9.3
125-01,encarnación,lagos de moreno-aguascalientes,mex-045d,88.84,"21.489631,-102.243232",14063,0.4,49.9,0.3,4.2,6.0,4.8,1.6,19.4,3.7,0.8,0.1,8.8,0.0,5146998,7.9,7.3,8.0,8.7,8.3,7.9,8.9,9.1,8.2,8.2,8.4,9.1
125-02,encarnación,encarnación-aguascalientes,mex-045d,88.84,"21.489696,-102.243139",1660,0.4,60.0,0.4,2.2,6.5,7.3,2.7,11.8,5.9,0.3,0.1,2.4,0.0,607397,8.4,7.7,8.3,8.4,8.1,8.1,9.0,8.9,7.5,8.2,8.4,9.0
126,mármol,el venadillo-ent. la cruz,mex-015d,25.15,"23.471231,-106.569551",8600,0.3,44.2,0.6,5.4,4.2,4.1,1.7,24.6,3.4,0.5,0.1,7.5,3.4,3147743,8.8,8.4,9.4,8.9,8.4,8.3,9.2,9.0,5.0,7.5,7.9,9.2
127-01,quilá,ent. la cruz-quilá,mex-015d,153.8,"24.397590,-107.269979",198,0.3,66.8,0.9,1.9,3.9,4.1,1.0,9.3,3.8,0.1,0.0,1.8,6.1,72360,8.5,8.5,8.8,9.3,12.0,7.6,8.1,7.5,3.7,7.6,8.3,10.1
127-02,quilá,quilá-costa rica,mex-015d,153.8,"24.396613,-107.271891",195,0.4,72.2,0.9,1.3,2.7,3.5,0.9,6.7,3.7,0.1,0.0,1.0,6.6,71381,9.1,8.8,9.0,9.3,11.6,8.0,8.7,7.4,3.5,7.2,8.1,9.3
128,costa rica,ent. la cruz-costa rica,mex-015d,187.8,"24.570274,-107.430173",8187,0.2,42.6,0.6,4.8,4.7,4.2,1.7,25.3,3.2,0.5,0.1,8.1,4.0,2996401,8.9,8.4,9.4,8.8,8.1,8.3,9.2,8.9,5.2,7.6,8.0,9.2
129,puente inter. libre comercio,lucio blanco-los yndios,mex-002,0.0,"26.021616,-97.738827",2087,0.1,89.9,0.6,0.0,0.3,1.3,0.5,7.1,0.1,0.1,0.0,0.0,0.0,763876,7.9,7.9,9.2,8.1,9.1,8.3,8.5,8.4,7.8,7.7,8.3,8.8
