strech_id,tollbooth_id,tollbooth_name,motorbike,car,car-axle,bus-2axle,bus-3axle,bus-4axle,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,load-axle,toll_ref,motorbike-axle,car-rush-hour,car-evening-hour,pedestrian,valid_from
709,,SANCTORUM - TULA II,132,265,133,495,495,495,495,495,495,755,755,1125,1125,1125,250,pase,,,,,
710,,SANCTORUM - TULA I,122,245,123,450,450,450,450,450,450,695,695,1035,1035,1035,227,pase,,,,,
711,,SANCTORUM - ATITALAQUIA,115,230,115,430,430,430,430,430,430,640,640,970,970,970,217,pase,,,,,
713,,SANCTORUM - AJOLOAPAN,100,200,100,345,345,345,345,345,345,515,515,770,770,770,174,pase,,,,,
714,,SANCTORUM - PACHUCA,75,150,75,260,260,260,260,260,260,405,405,595,595,595,131,pase,,,,,
716,,SANCTORUM - SN MARTIN TEXMELUCAN,50,100,51,145,145,145,145,145,145,225,225,320,320,320,73,pase,,,,,
715,,SANCTORUM - TULANCINGO,50,100,50,170,170,170,170,170,170,265,265,390,390,390,86,pase,,,,,
717,,SANCTORUM - SAHAGUN,35,70,35,130,130,130,130,130,130,190,190,275,275,275,66,pase,,,,,
718,,SANCTORUM - CALPULALPAN,20,40,20,55,55,55,55,55,55,90,90,125,125,125,28,pase,,,,,
719,,SN MARTIN TEXMELUCAN - ATLACOMULCO,255,510,257,900,900,900,900,900,900,1380,1380,2075,2075,2075,453,pase,,,,,
720,,SN MARTIN TEXMELUCAN - ACAMBAY,242,485,244,860,860,860,860,860,860,1305,1305,1950,1950,1950,433,pase,,,,,
721,,SN MARTIN TEXMELUCAN - JILOTEPEC,207,415,209,750,750,750,750,750,750,1155,1155,1695,1695,1695,378,pase,,,,,
723,,SN MARTIN TEXMELUCAN - QUERETARO,202,405,204,720,720,720,720,720,720,1095,1095,1615,1615,1615,363,pase,,,,,
724,,SN MARTIN TEXMELUCAN - TULA II,182,365,184,640,640,640,640,640,640,980,980,1445,1445,1445,323,pase,,,,,
725,,SN MARTIN TEXMELUCAN - TULA I,172,345,174,595,595,595,595,595,595,920,920,1355,1355,1355,300,pase,,,,,
726,,SN MARTIN TEXMELUCAN - ATITALAQUIA,165,330,166,575,575,575,575,575,575,865,865,1290,1290,1290,290,pase,,,,,
727,,SN MARTIN TEXMELUCAN - AJOLOAPAN,150,300,151,490,490,490,490,490,490,740,740,1090,1090,1090,247,pase,,,,,
729,,SN MARTIN TEXMELUCAN - PACHUCA,125,250,126,405,405,405,405,405,405,630,630,915,915,915,204,pase,,,,,
730,,SN MARTIN TEXMELUCAN - TULANCINGO,100,200,101,315,315,315,315,315,315,490,490,710,710,710,159,pase,,,,,
731,,SN MARTIN TEXMELUCAN - SAHAGUN,85,170,86,275,275,275,275,275,275,415,415,595,595,595,139,pase,,,,,
732,,SN MARTIN TEXMELUCAN - CALPULALPAN,70,140,71,200,200,200,200,200,200,315,315,445,445,445,101,pase,,,,,
733,,SN MARTIN TEXMELUCAN - SANCTORUM,50,100,51,145,145,145,145,145,145,225,225,320,320,320,73,pase,,,,,
734,,SN MARTIN TEXMELUCAN (ABIERTO),7,15,8,20,20,20,20,20,20,50,50,60,60,60,10,pase,,,,,
750,,TIJUANA-TECAT Y -LIB. DE TECATE,65,131,65,194,194,194,194,251,251,360,360,461,461,461,97,pase,,,,,
751,,ENT. PASO DEL AGUILA-TIJUANA,37,75,38,112,112,112,112,145,145,208,208,266,266,266,56,pase,,,,,
753,,LIBRAMIENTO DE TECATE,24,48,24,67,67,67,67,87,87,123,123,158,158,158,34,pase,,,,,
754,,PLANTA DART-VALLE REDONDO TIJUANA,22,44,22,65,65,65,65,84,84,121,121,155,155,155,33,pase,,,,,
755,,LAS ESPERANZAS,9,18,8,24,24,24,24,34,34,48,48,55,55,55,12,pase,,,,,
767,,CHAMAPA - CERRILLO,75,150,75,225,225,225,394,394,394,690,690,690,690,690,197,pase,,,,,
766,,CHAMAPA - SAN NICOLÁS,55,110,55,165,165,165,288,288,288,505,505,505,505,505,144,pase,,,,,
765,,CHAMAPA - AYOTUXCO,26,53,26,79,79,79,139,139,139,243,243,243,243,243,69,pase,,,,,
760,,SAN NICOLÁS - CHAMAPA,55,110,55,165,165,165,288,288,288,505,505,505,505,505,144,pase,,,,,
759,,SAN NICOLÁS - AYOTUXCO,28,57,28,85,85,85,149,149,149,261,261,261,261,261,75,pase,,,,,
761,,SAN NICOLÁS - CERRILLO,20,40,20,60,60,60,106,106,106,185,185,185,185,185,53,pase,,,,,
764,,AYOTUXCO-CERRILLO,48,97,49,146,146,146,255,255,255,447,447,447,447,447,128,pase,,,,,
763,,AYOTUXCO -SAN NICOLÁS,28,57,28,85,85,85,149,149,149,261,261,261,261,261,75,pase,,,,,
762,,AYOTUXCO - CHAMAPA,26,53,26,79,79,79,139,139,139,243,243,243,243,243,59,pase,,,,,
758,,CERRILLO - CHAMAPA,75,150,75,225,225,225,394,394,394,690,690,690,690,690,197,pase,,,,,
757,,CERRILLO -AYOTUXCO,48,97,49,146,146,146,255,255,255,447,447,447,447,447,128,pase,,,,,
756,,CERRILLO - SAN NICOLÁS,20,40,20,60,60,60,106,106,106,185,185,185,185,185,53,pase,,,,,
