parent_id|short_name|project_or_owner_name|area_webpage|toll_ref
quantum|Rioverde-valles|rio verde-ciudad valles|https://infraquantum.com/proyecto-rioverde-cd-valles/|
ideal|Chamapa-laventa|Autopista chamapa-la venta|https://www.chamapalaventa.com.mx|https://www.chamapalaventa.com.mx/tarifas/
ideal|Lasvaras-vallarta|Autopista las varas-vallarta|https://www.lasvaras-ptovallarta.com.mx/|https://www.lasvaras-ptovallarta.com.mx/tarifas/
ideal|Tunel-coatzacoalcos|Tunel Coatzacoalcos|https://www.tunelcoatzacoalcos.com.mx|https://www.tunelcoatzacoalcos.com.mx/tarifas/
ideal|mitlatehuantepec|Autopista Mitla Tehuantepec|https://www.autopistamitlatehuantepec.com.mx|https://www.autopistamitlatehuantepec.com.mx/tarifas/
|Gob-nuevo leon|Puente Colombia|https://www.puentecolombia.mx/|https://www.puentecolombia.mx/preguntas-frecuentes-puente-colombia/
aleatica|aunorte|Autopista urbana norte|https://www.aunorte.com.mx/|https://www.aunorte.com.mx/rutas-y-tarifas/
ideal|asur|Autopista urbana sur|https://www.ausur.com.mx|https://www.ausur.com.mx/tarifas/
|profrezac|Grupo Profrezac S.A. de C.V.|https://profrezac.com/|https://profrezac.com/
|libramiento carrillo puerto|Mantenimiento y Operación Carrillo Puerto S.A. de C.V.|https://www.libramientocarrillo.com|https://www.libramientocarrillo.com/maps-fees.php
|cap|concesionaria de autopistas de puebla||
