"tollbooth_id","tollbooth_name","way","strech_id"
165,"circuito exterior mexiquense-a-22 bordo xochiaca",,109
166,"circuito exterior mexiquense-a-27 san buena aventura",,111
167,"circuito exterior mexiquense-a-28 san marcos",,112
168,"circuito exterior mexiquense-a-3 pachuca",,107
169,"circuito exterior mexiquense-a-31 ent. tultepec",,113
170,"circuito exterior mexiquense-a-32 ent. tultepec",,114
171,"circuito exterior mexiquense-a-33 vialidad mexiquense",,115
172,"circuito exterior mexiquense-a-34 vialidad mexiquense",,114
173,"circuito exterior mexiquense-a-35 vialidad mexiquense",,115
174,"circuito exterior mexiquense-a-36 vialidad mexiquense",,114
175,"circuito exterior mexiquense-a-4 pachuca",,108
176,"circuito exterior mexiquense-a-5 hank gonzalez",,102
177,"circuito exterior mexiquense-a-6 periferico",,103
178,"circuito exterior mexiquense-a-7 periferico",,103
179,"circuito exterior mexiquense-a-8 pichardo",,104
180,"circuito exterior mexiquense-a-9 ctm",,105
181,"circuito exterior mexiquense-aifa a35 de distribuidor santa ines",,119
182,"circuito exterior mexiquense-aifa t5 de distribuidor santa ines",,116
182,"circuito exterior mexiquense-aifa t5 de distribuidor santa ines",,118
183,"circuito exterior mexiquense-t-5 tultitlan",,116
183,"circuito exterior mexiquense-t-5 tultitlan",,118
184,"circuito exterior mexiquense-t-7 -texcoco",,110
185,"circuito exterior mexiquense-t0 jorobas",,95
186,"circuito exterior mexiquense-t1 jaltenco",,96
186,"circuito exterior mexiquense-t1 jaltenco",,1395
186,"circuito exterior mexiquense-t1 jaltenco",,106
186,"circuito exterior mexiquense-t1 jaltenco",,1394
187,"circuito exterior mexiquense-t1 tultepec",,96
187,"circuito exterior mexiquense-t1 tultepec",,1395
187,"circuito exterior mexiquense-t1 tultepec",,106
187,"circuito exterior mexiquense-t1 tultepec",,1394
188,"circuito exterior mexiquense-t2 conmex",,97
188,"circuito exterior mexiquense-t2 conmex",,1393
189,"circuito exterior mexiquense-t3 nabor carillo",,98
190,"circuito exterior mexiquense-t3 nabor carillo",,98
191,"circuito exterior mexiquense-t3 nabor carillo",,99
192,"circuito exterior mexiquense-t3 nabor carillo",,99
193,"circuito exterior mexiquense-t4 chalco",,100
194,"circuito exterior mexiquense-t6 cuautitlan izcalli",,117
195,"cuautitlan (lecheria)",,
196,"cuautitlan (lecheria)",,902
196,"cuautitlan (lecheria)",,903
196,"cuautitlan (lecheria)",,904
196,"cuautitlan (lecheria)",,905
196,"cuautitlan (lecheria)",,906
196,"cuautitlan (lecheria)",,907
196,"cuautitlan (lecheria)",,908
196,"cuautitlan (lecheria)",,909
196,"cuautitlan (lecheria)",,910
196,"cuautitlan (lecheria)",,911
196,"cuautitlan (lecheria)",,912
196,"cuautitlan (lecheria)",,913
197,"ecatepec (piramides)",,125
198,"ecatepec (san cristobal)",,120
199,"ecatepec (san cristobal)",,120
200,"el dorado",,268
201,"ent. gran canal",,847
202,"ent. gran canal",,845
203,"ent. indios verdes",,847
204,"ent. peñon",,134
205,"entronque ojo de agua",,124
206,"entronque ojo de agua",,124
207,"huixquilucan",,1004
207,"huixquilucan",,1011
207,"huixquilucan",,1010
207,"huixquilucan",,1009
207,"huixquilucan",,1008
207,"huixquilucan",,1007
207,"huixquilucan",,1006
207,"huixquilucan",,1005
207,"huixquilucan",,1003
207,"huixquilucan",,1002
207,"huixquilucan",,1001
208,"huixquilucan",,
209,"interlomas",,
210,"interlomas",,
211,"interlomas",,1020
211,"interlomas",,1023
211,"interlomas",,1021
211,"interlomas",,1019
211,"interlomas",,1018
211,"interlomas",,1017
211,"interlomas",,1016
211,"interlomas",,1015
211,"interlomas",,1014
211,"interlomas",,1013
211,"interlomas",,1012
212,"ixtapaluca","chalco panasonic-méxico",2
213,"ixtapan de la sal",,
214,"ixtapan de la sal",,
215,"ixtapan de la sal",,
216,"jilotepec",,552
216,"jilotepec",,553
216,"jilotepec",,554
216,"jilotepec",,555
216,"jilotepec",,556
216,"jilotepec",,557
216,"jilotepec",,558
216,"jilotepec",,559
216,"jilotepec",,560
216,"jilotepec",,561
216,"jilotepec",,562
216,"jilotepec",,563
216,"jilotepec",,564
216,"jilotepec",,565
216,"jilotepec",,536
216,"jilotepec",,550
216,"jilotepec",,582
216,"jilotepec",,594
216,"jilotepec",,607
216,"jilotepec",,621
216,"jilotepec",,742
216,"jilotepec",,635
216,"jilotepec",,647
216,"jilotepec",,661
216,"jilotepec",,676
216,"jilotepec",,691
216,"jilotepec",,706
216,"jilotepec",,721
217,"jorobas",,161
218,"jorobas",,161
219,"la finca",,248
220,"la finca",,249
220,"la finca",,249
221,"la hortaliza",,259
222,"la hortaliza",,261
222,"la hortaliza",,260
223,"la hortaliza",,261
224,"la hortaliza",,260
225,"lago de guadalupe",,
226,"lago de guadalupe",,
227,"lago de guadalupe",,919
227,"lago de guadalupe",,923
227,"lago de guadalupe",,925
228,"lago de guadalupe",,914
228,"lago de guadalupe",,915
228,"lago de guadalupe",,916
228,"lago de guadalupe",,917
