"tollbooth_id","direction","legacy_id","tollbooth_name","coords","status","strech_id","state","place","lines","type","highway","operator_2025","gate_to"
,,69,"jorobas","19.826189088641254, -99.24975024585362","open",161,"edomx","entronque",1,"toll","57-57D","capufe",
,,69,"jorobas","19.82567313930489, -99.25007932058412","open",161,"edomx","entronque",1,"toll","57D-57","capufe",
,,939,"nabor carrillo","19.495932599390688, -98.94737958499377","open",129,"edomx","troncal",4,"toll","piramides-136D","Ecatepec-piramides",
,,939,"nabor carrillo","19.49598316788296, -98.9472240168867","open",130,"edomx","troncal",2,"toll",,"Ecatepec-piramides",
,,939,"nabor carrillo","19.49602867951252, -98.9471301395807","open",131,"edomx","troncal",2,"toll",,"Ecatepec-piramides",
,,575,"Tizatyca (ojo de agua)","19.618844090389594, -99.02953259081578","open",123,"edomx","troncal",21,"toll","85D","Golfo-centro",
,,576,"entronque ojo de agua","19.665029989506003, -99.00174021673337","open",124,"edomx","entronque",3,"toll","85D-85","Golfo-centro",
,,576,"entronque ojo de agua","19.665375829654206, -99.00203390912596","open",124,"edomx","entronque",3,"toll","85D-85","Golfo-centro",
,,914,"texcoco","19.50279435886103, -98.91267169397241","open",133,"edomx","troncal",5,"toll","136D","Desarrollo-global",
,,914,"texcoco t2","19.502074032237623, -98.91498952424638","open",133,"edomx","troncal",3,"toll","136D","Desarrollo-global",
,,196,"ozumba","19.046046108219354, -98.82833862020823","open",6,"edomx","troncal",10,"toll","115D","capufe","bypass"
,,917,"san martin texmelucan","19.30158972628332, -98.40401709219253","open",7,"tlaxcala","troncal",5,"toll","117D","pinfra",
,,558,"el higueron","18.652765075251022, -99.00169876378389","open",10,"morelos","entronque",1,"toll","94D-san rafael","pinfra",
,,558,"el higueron","18.652397034134513, -99.0012437005927","open",10,"morelos","entronque",1,"toll","san rafael-94D","pinfra",
