"road_id","road_name","operation_date","start_contract_date","end_contract_date","project_mx_id","fonadin_ref","road_length_km","bond_code","bond_issuance_date","bond_terms_years","bond_amount","notes","farac"
229,"libramiento de xalapa","01-11-2012","14-02-2008","13-02-2053",101,,30.6,"CPEXACB 16U,CPXACB 24U","2016-01-27,2024-07-24","23,30","271800000 udis,577800000",,"concesion"
230,"libramiento norponiente de cardel","03-10-1995","06-10-1993","05-10-2053",84,,21,,,,,,
231,"libramiento cuernavaca","01-04-2017","30-09-2011","30-09-2071",341,,14.5,,,,,,
232,"Torreón-Cuencamé",,"18-07-1990","17-07-2050",92,,117,,,,,,
233,"libramiento norponiente de saltillo","01-11-2011","17-11-2006","17-11-2066",85,"https://www.fonadin.gob.mx/fni2/fp50/",45.33,,,,,,
234,"puente internacional laredo I","11-10-1979","18-03-2003","18-09-2024",523,,0.162,,,,,,
235,"puente internacional san luis río colorado ii","04-11-2010","27-11-2007","26-11-2037",133,,1.4,,,,,,
236,"puente internacional lucio blanco-los indios","01-12-1992","12-11-1990","12-11-2050",103,,0.07678,,,,,,
237,"cabo san lucas-san josé del cabo","05-11-2015","30-09-2011","30-09-2071",321,,38.68,,,,,,
238,"libramiento de progreso","26-11-2025","15-02-2023","15-02-2063",918,,2.2,,,,,,
239,"la gloria-san fernando","01-07-2020","06-06-2017","06-06-2047",28,,49,,,,,,
