index,tollbooth_name,direction,road,km,tdpa,M,A,AR,B,C2,C3,C4,C5,C6,C7,C8,C9,VNC,vta,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
230-02,acambay,jilotepec-acambay,ex-m40d,13.000,92,0.4,80.7,0.3,0.4,6.3,4.4,0.4,1.4,0.2,0.0,0.0,0.1,5.4,"33,447",7.8,7.1,7.8,8.0,8.0,7.8,7.8,8.6,7.9,9.6,9.8,9.8
230-03,acambay,querétaro-acambay,ex-m40d,13.000,214,0.3,78.7,0.2,1.3,4.5,3.8,1.0,6.5,1.7,0.0,0.1,0.6,1.3,"78,219",7.5,6.9,8.5,6.9,8.4,7.9,8.8,8.4,8.3,8.8,8.7,10.9
230-04,acambay,tula ii-acambay,ex-m40d,13.000,11,0.2,85.8,0.3,0.3,4.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.2,"4,090",7.1,6.3,7.1,7.8,9.7,7.5,9.1,10.1,8.8,8.2,8.5,9.8
230-05,acambay,tula i-acambay,ex-m40d,13.000,24,0.2,74.9,1.7,0.3,8.3,5.9,0.3,3.8,2.5,0.0,0.0,0.5,1.6,"8,643",7.4,6.2,9.2,9.8,8.5,7.5,9.8,8.6,7.0,8.8,7.9,9.3
230-06,acambay,atitalaquia-acambay,ex-m40d,13.000,6,0.4,68.1,0.6,0.0,3.2,8.5,0.0,3.6,12.0,0.0,0.0,1.3,2.3,"2,125",8.2,7.2,9.6,8.8,11.2,6.8,8.3,8.8,7.7,8.1,7.1,8.2
230-07,acambay,ajoloapan-acambay,ex-m40d,13.000,3,0.0,85.7,1.2,1.0,10.5,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,922,9.9,7.0,7.6,8.2,9.9,7.7,8.0,8.0,7.4,7.8,7.0,11.5
230-08,acambay,pachuca-acambay,ex-m40d,13.000,18,0.2,85.7,0.2,0.5,7.1,2.9,0.4,2.4,0.3,0.0,0.0,0.0,0.3,"6,691",8.4,6.6,8.8,7.9,9.1,8.0,8.4,8.6,7.2,8.1,9.5,9.4
230-09,acambay,tulancingo-acambay,ex-m40d,13.000,15,0.0,81.0,0.4,0.5,7.5,5.7,0.2,1.0,2.4,0.0,0.0,1.3,0.0,"5,447",9.0,7.5,10.2,9.9,8.2,6.9,8.5,8.4,6.9,7.7,8.5,8.3
230-10,acambay,sahagún-acambay,ex-m40d,13.000,1,0.0,89.4,0.3,0.0,9.1,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,308,6.5,4.9,6.8,6.5,11.4,8.1,7.1,6.2,11.7,7.8,10.1,12.9
230-11,acambay,calpulalpan-acambay,ex-m40d,13.000,2,0.5,54.8,0.1,0.0,14.8,7.8,3.2,14.5,2.7,0.0,0.0,1.5,0.1,744,8.1,8.2,7.1,6.5,8.2,9.1,9.5,7.3,8.2,8.3,10.9,8.6
230-12,acambay,sanctórum-acambay,ex-m40d,13.000,7,0.0,67.3,0.5,1.0,8.2,9.5,1.0,9.3,3.2,0.0,0.0,0.0,0.0,"2,637",8.4,7.2,9.5,9.6,7.6,8.3,8.5,9.1,7.2,6.4,7.8,10.4
230-13,acambay,san martín texmelucan-acambay,ex-m40d,13.000,30,0.3,51.1,0.7,2.1,5.4,5.3,1.0,11.8,1.7,0.1,0.0,2.9,17.6,"11,050",7.6,5.9,8.5,11.2,8.2,8.3,8.7,8.0,7.9,7.8,8.5,9.4
231-01,jilotepec,atlacomulco-jilotepec,ex-m40d,48.700,172,0.3,68.7,0.3,9.4,6.5,2.3,0.7,2.9,0.7,0.1,0.0,1.2,6.9,"62,929",8.6,7.1,8.0,8.1,7.6,7.6,9.0,9.4,7.6,7.9,9.1,10.0
231-02,jilotepec,acambay-jilotepec,ex-m40d,48.700,101,0.3,82.4,0.3,0.5,5.6,3.8,0.2,1.2,0.1,0.0,0.0,0.2,5.4,"36,747",7.7,7.1,7.7,7.8,7.7,8.1,8.2,8.8,8.4,8.9,9.2,10.4
231-03,jilotepec,querétaro-jilotepec,ex-m40d,48.700,600,0.4,73.1,0.1,1.1,4.5,4.1,0.3,8.1,0.9,0.0,0.1,2.8,4.5,"219,149",7.9,7.3,8.1,7.7,8.0,7.9,8.7,8.6,8.3,8.8,8.7,10.0
231-04,jilotepec,tula ii-jilotepec,ex-m40d,48.700,244,0.3,76.7,0.6,0.7,8.3,7.9,0.6,2.6,1.7,0.0,0.0,0.1,0.5,"89,013",7.6,6.7,8.0,8.0,7.8,7.5,8.4,8.4,8.1,8.9,9.4,11.2
231-05,jilotepec,tula i-jilotepec,ex-m40d,48.700,220,0.7,91.7,0.2,0.3,3.6,0.6,0.0,0.2,1.6,0.0,0.0,0.0,1.1,"80,139",8.5,7.9,9.0,8.4,8.9,8.3,8.1,8.1,7.3,7.9,8.2,9.4
231-06,jilotepec,atitalaquia-jilotepec,ex-m40d,48.700,73,0.2,61.6,0.3,0.4,4.3,7.6,6.1,3.8,14.0,0.0,0.0,1.2,0.5,"26,674",7.6,6.9,8.4,7.8,8.6,8.8,9.6,9.0,7.8,7.6,8.6,9.3
