"tollbooth_id","legacy_id","tollbooth_name","lat","lng","status","state","place","lines","type","manage","gate_to","anti_evation_sys","in_out"
128,530,"amanalco",19.2354263802432,-100.070772728276,"open","edomx","entronque",1,"toll","acomex",,,
129,530,"amanalco",19.2336368910364,-100.072263479233,"open","edomx","entronque",1,"toll","acomex",,,
130,462,"apaxco",19.9978053024865,-99.1413529125953,"open","edomx","entronque",2,"toll","arconorte",,0,"in"
131,462,"apaxco",19.9978925304972,-99.1413864520397,"open","edomx","entronque",2,"toll","arconorte",,0,"out"
132,137,"atizapan",19.5825732063593,-99.2710972342119,"open","edomx","troncal",4,"toll","capufe",,,
133,137,"atizapan",19.5825148187655,-99.2711268121337,"open","edomx","troncal",2,"ticket","capufe",,,
134,443,"atlacomulco",19.9118273622749,-99.8525959253311,"open","edomx","troncal",6,"toll","arconorte",,,
135,448,"atlacomulco",19.8377328958175,-99.9454969167709,"open","edomx","troncal",5,"toll","mexico-michoacan",,,
136,445,"atlacomulco sur",19.76255376807,-99.8555302619934,"open","edomx","troncal",5,"toll","ideal",,,
137,567,"ayotuxco",19.4014209689151,-99.3810303821788,"open","edomx","entronque",1,"toll","autovan",,,
138,567,"ayotuxco",19.4014710087302,-99.3809969334959,"open","edomx","entronque",1,"toll","autovan",,,
139,567,"ayotuxco",19.3999487768372,-99.3809297646716,"open","edomx","entronque",1,"toll","autovan",,,
140,567,"ayotuxco",19.4000064611512,-99.380959284907,"open","edomx","entronque",1,"toll","autovan",,,
141,414,"bosque real",19.4175074948573,-99.2984362230002,"open","edomx","entronque",1,"ticket","chamapa-laventa",,,
142,414,"bosque real",19.417550548106,-99.2985301031471,"open","edomx","entronque",1,"toll","chamapa-laventa",,,
143,414,"bosque real",19.4191962592264,-99.3002995623691,"open","edomx","entronque",3,"ticket","chamapa-laventa",,,
144,565,"cerrillo",19.3264393073411,-99.5160228862269,"open","edomx","troncal",5,"toll","autovan",,,
145,565,"cerrillo",19.3263000554873,-99.5158699961308,"open","edomx","troncal",5,"toll","autovan",,,
146,1047,"ceylan norte",19.5135870196496,-99.1758937572824,"open","edomx","entronque",2,"toll","anesa",,,
147,1047,"ceylan sur",19.5138539922161,-99.1748067839479,"open","edomx","entronque",2,"ticket","anesa",,,
148,71,"chalco",19.2932925639297,-98.8828450963299,"open","edomx","troncal",2,"toll","capufe",,,
149,71,"chalco",19.2931016839477,-98.8840998393569,"open","edomx","troncal",3,"toll","capufe",,,
150,71,"chalco",19.2932186749308,-98.8835431422734,"open","edomx","troncal",3,"toll","capufe",,,
151,71,"chalco",19.2921343567049,-98.8817066361272,"open","edomx","entronque",7,"toll","capufe",,,
152,568,"chamapa",19.4345103287221,-99.3037326394601,"open","edomx","troncal",4,"toll","autovan",,,
